stock_number,make,model,sale_date,delivery_date,year,new,image,price,car_and_driver_hyperlink,dealership_number
1,Subaru,Impreza,0000-00-00 00:00:00,0000-00-00 00:00:00,2000,0,,73569.28,,80
2,Scion,tC,0000-00-00 00:00:00,0000-00-00 00:00:00,2007,0,,95058.84,,72
3,Ford,Taurus,0000-00-00 00:00:00,0000-00-00 00:00:00,1994,1,,80200.57,,39
4,Daewoo,Leganza,0000-00-00 00:00:00,0000-00-00 00:00:00,2002,0,,90401.44,,40
5,Ford,Aerostar,0000-00-00 00:00:00,0000-00-00 00:00:00,1996,0,,40602.13,,82
6,Hyundai,Sonata,0000-00-00 00:00:00,0000-00-00 00:00:00,1994,1,,80796.48,,28
7,Toyota,Sequoia,0000-00-00 00:00:00,0000-00-00 00:00:00,2006,1,,14882.62,,24
8,Kia,Sorento,0000-00-00 00:00:00,0000-00-00 00:00:00,2008,0,,94486.2,,99
9,Mercedes-Benz,400SEL,0000-00-00 00:00:00,0000-00-00 00:00:00,1993,1,,15875.41,,49
10,Chevrolet,Suburban 1500,0000-00-00 00:00:00,0000-00-00 00:00:00,1994,1,,71846.81,,64
11,Land Rover,Discovery Series II,0000-00-00 00:00:00,0000-00-00 00:00:00,1999,1,,86889.96,,49
12,Pontiac,LeMans,0000-00-00 00:00:00,0000-00-00 00:00:00,1990,1,,71803.98,,69
13,Jeep,Liberty,0000-00-00 00:00:00,0000-00-00 00:00:00,2002,1,,94597.85,,49
14,Mazda,Mazda6,0000-00-00 00:00:00,0000-00-00 00:00:00,2012,1,,11145.31,,65
15,Ford,Escape,0000-00-00 00:00:00,0000-00-00 00:00:00,2010,0,,56172.28,,52
16,Mitsubishi,Pajero,0000-00-00 00:00:00,0000-00-00 00:00:00,1988,1,,42668.54,,15
17,Subaru,Legacy,0000-00-00 00:00:00,0000-00-00 00:00:00,2009,0,,20100.97,,25
18,Chevrolet,Avalanche 2500,0000-00-00 00:00:00,0000-00-00 00:00:00,2002,0,,69915.06,,13
19,Buick,Skyhawk,0000-00-00 00:00:00,0000-00-00 00:00:00,1986,0,,33165.81,,17
20,BMW,5 Series,0000-00-00 00:00:00,0000-00-00 00:00:00,2010,1,,62748.24,,1
21,GMC,Sonoma Club Coupe,0000-00-00 00:00:00,0000-00-00 00:00:00,1995,0,,53252.05,,30
22,Ford,F450,0000-00-00 00:00:00,0000-00-00 00:00:00,2011,1,,23766.32,,61
23,Audi,200,0000-00-00 00:00:00,0000-00-00 00:00:00,1990,1,,57742.68,,55
24,Ford,Ranger,0000-00-00 00:00:00,0000-00-00 00:00:00,2002,0,,7690.85,,38
25,Smart,Fortwo,0000-00-00 00:00:00,0000-00-00 00:00:00,2009,1,,32656.64,,77
26,Mazda,MX-5,0000-00-00 00:00:00,0000-00-00 00:00:00,1993,1,,87388.0,,59
27,Dodge,Ram 2500 Club,0000-00-00 00:00:00,0000-00-00 00:00:00,1998,1,,39354.69,,33
28,Dodge,Magnum,0000-00-00 00:00:00,0000-00-00 00:00:00,2008,0,,47333.11,,56
29,Oldsmobile,Aurora,0000-00-00 00:00:00,0000-00-00 00:00:00,2002,1,,72931.06,,41
30,Aston Martin,Virage,0000-00-00 00:00:00,0000-00-00 00:00:00,2012,1,,53396.85,,71
31,Lincoln,Town Car,0000-00-00 00:00:00,0000-00-00 00:00:00,1998,0,,32042.73,,28
32,Mazda,RX-8,0000-00-00 00:00:00,0000-00-00 00:00:00,2005,1,,54596.87,,41
33,Pontiac,GTO,0000-00-00 00:00:00,0000-00-00 00:00:00,1969,1,,16827.54,,69
34,Toyota,4Runner,0000-00-00 00:00:00,0000-00-00 00:00:00,2003,0,,62227.4,,86
35,MINI,Clubman,0000-00-00 00:00:00,0000-00-00 00:00:00,2012,1,,90065.15,,99
36,Subaru,Legacy,0000-00-00 00:00:00,0000-00-00 00:00:00,1991,0,,51700.38,,44
37,Ford,Bronco,0000-00-00 00:00:00,0000-00-00 00:00:00,1986,0,,24669.98,,14
38,Mazda,MPV,0000-00-00 00:00:00,0000-00-00 00:00:00,1994,0,,96200.97,,20
39,Mitsubishi,Outlander,0000-00-00 00:00:00,0000-00-00 00:00:00,2009,1,,52379.81,,35
40,Lexus,LX,0000-00-00 00:00:00,0000-00-00 00:00:00,2005,0,,27642.03,,43
41,Kia,Spectra,0000-00-00 00:00:00,0000-00-00 00:00:00,2009,1,,49275.81,,76
42,Honda,Pilot,0000-00-00 00:00:00,0000-00-00 00:00:00,2006,0,,65139.1,,12
43,Hyundai,Azera,0000-00-00 00:00:00,0000-00-00 00:00:00,2008,1,,46265.3,,47
44,Ford,F350,0000-00-00 00:00:00,0000-00-00 00:00:00,2000,0,,9814.86,,94
45,Mercedes-Benz,Sprinter 3500,0000-00-00 00:00:00,0000-00-00 00:00:00,2011,0,,79174.11,,31
46,Kia,Sedona,0000-00-00 00:00:00,0000-00-00 00:00:00,2010,0,,83354.97,,83
47,Nissan,350Z Roadster,0000-00-00 00:00:00,0000-00-00 00:00:00,2006,1,,35966.66,,15
48,Toyota,RAV4,0000-00-00 00:00:00,0000-00-00 00:00:00,2007,0,,36301.52,,33
49,Mazda,Millenia,0000-00-00 00:00:00,0000-00-00 00:00:00,1998,0,,33405.92,,6
50,Acura,RL,0000-00-00 00:00:00,0000-00-00 00:00:00,2003,0,,17221.65,,94
51,Land Rover,Discovery,0000-00-00 00:00:00,0000-00-00 00:00:00,1995,0,,82362.83,,19
52,Ram,C/V,0000-00-00 00:00:00,0000-00-00 00:00:00,2012,0,,32330.91,,8
53,BMW,X3,0000-00-00 00:00:00,0000-00-00 00:00:00,2010,1,,21855.79,,87
54,Suzuki,Samurai,0000-00-00 00:00:00,0000-00-00 00:00:00,1995,0,,27459.61,,6
55,GMC,Sierra 1500,0000-00-00 00:00:00,0000-00-00 00:00:00,2011,0,,68743.95,,95
56,Volkswagen,Jetta,0000-00-00 00:00:00,0000-00-00 00:00:00,1993,1,,30095.7,,63
57,BMW,7 Series,0000-00-00 00:00:00,0000-00-00 00:00:00,1994,0,,99732.94,,31
58,Buick,Park Avenue,0000-00-00 00:00:00,0000-00-00 00:00:00,1992,0,,55330.76,,74
59,Lincoln,Town Car,0000-00-00 00:00:00,0000-00-00 00:00:00,1995,0,,20906.63,,20
60,Porsche,Boxster,0000-00-00 00:00:00,0000-00-00 00:00:00,1999,0,,96877.98,,66
61,Dodge,Charger,0000-00-00 00:00:00,0000-00-00 00:00:00,2008,0,,28928.87,,54
62,Infiniti,I,0000-00-00 00:00:00,0000-00-00 00:00:00,2000,1,,9057.89,,11
63,Lotus,Elise,0000-00-00 00:00:00,0000-00-00 00:00:00,2007,1,,67749.62,,16
64,Chevrolet,Camaro,0000-00-00 00:00:00,0000-00-00 00:00:00,2002,0,,66452.46,,24
65,Mazda,Millenia,0000-00-00 00:00:00,0000-00-00 00:00:00,1998,0,,79430.56,,36
66,Nissan,Rogue,0000-00-00 00:00:00,0000-00-00 00:00:00,2012,0,,58467.72,,80
67,Chevrolet,Silverado 1500,0000-00-00 00:00:00,0000-00-00 00:00:00,2004,0,,20888.65,,5
68,GMC,Sierra 3500,0000-00-00 00:00:00,0000-00-00 00:00:00,2001,1,,35729.88,,10
69,Porsche,Cayenne,0000-00-00 00:00:00,0000-00-00 00:00:00,2013,1,,38806.58,,90
70,Dodge,Viper,0000-00-00 00:00:00,0000-00-00 00:00:00,1995,1,,51439.94,,24
71,Jaguar,S-Type,0000-00-00 00:00:00,0000-00-00 00:00:00,2007,1,,1888.84,,98
72,Dodge,Caravan,0000-00-00 00:00:00,0000-00-00 00:00:00,1985,1,,75428.49,,71
73,Chevrolet,Blazer,0000-00-00 00:00:00,0000-00-00 00:00:00,1999,1,,70448.26,,86
74,Mercury,Sable,0000-00-00 00:00:00,0000-00-00 00:00:00,1986,1,,33500.95,,28
75,Ford,Mustang,0000-00-00 00:00:00,0000-00-00 00:00:00,2000,1,,50021.44,,54
76,Infiniti,QX,0000-00-00 00:00:00,0000-00-00 00:00:00,2006,1,,43295.74,,43
77,Nissan,Armada,0000-00-00 00:00:00,0000-00-00 00:00:00,2006,0,,51580.62,,77
78,Chevrolet,S10,0000-00-00 00:00:00,0000-00-00 00:00:00,2000,0,,54992.04,,6
79,Volkswagen,Golf,0000-00-00 00:00:00,0000-00-00 00:00:00,2011,0,,58225.92,,77
80,Oldsmobile,Alero,0000-00-00 00:00:00,0000-00-00 00:00:00,2002,0,,9499.74,,21
81,Chevrolet,Tahoe,0000-00-00 00:00:00,0000-00-00 00:00:00,1999,1,,15942.22,,81
82,Dodge,D250,0000-00-00 00:00:00,0000-00-00 00:00:00,1992,1,,18052.93,,71
83,Volkswagen,GTI,0000-00-00 00:00:00,0000-00-00 00:00:00,2012,1,,95930.35,,75
84,Infiniti,QX,0000-00-00 00:00:00,0000-00-00 00:00:00,1999,1,,65145.76,,40
85,Saturn,VUE,0000-00-00 00:00:00,0000-00-00 00:00:00,2003,1,,70834.94,,63
86,Plymouth,Neon,0000-00-00 00:00:00,0000-00-00 00:00:00,1999,0,,99450.67,,14
87,Toyota,Matrix,0000-00-00 00:00:00,0000-00-00 00:00:00,2012,1,,30611.09,,39
88,Bentley,Continental,0000-00-00 00:00:00,0000-00-00 00:00:00,2006,0,,20439.99,,24
89,Chevrolet,Astro,0000-00-00 00:00:00,0000-00-00 00:00:00,2003,1,,78266.59,,59
